Owner Name,Location,Item Code,Item Name,Stock,Unit,Receiving Date,Lot Number,Damage Flag
POST Sterirized,A1-2-16,POST-019,POST Sterirized 049,44,Pallet,22/04/2027,1234610,Good
POST Sterirized,A1-2-17,POST-023,POST Sterirized 036,45,Pallet,22/04/2027,1234611,Good
POST Sterirized,A1-2-18,POST-040,POST Sterirized 033,46,Pallet,12/11/2026,1234612,Good
POST Sterirized,A1-2-19,POST-019,POST Sterirized 039,47,Pallet,07/04/2027,1234613,Good
POST Sterirized,A1-2-20,POST-008,POST Sterirized 050,48,Pallet,01/02/2027,1234614,Good
POST Sterirized,A1-2-21,POST-046,POST Sterirized 040,49,Pallet,10/02/2027,1234615,Good
POST Sterirized,A1-2-22,POST-038,POST Sterirized 005,50,Pallet,31/12/2026,1234616,Good
POST Sterirized,A1-2-23,POST-005,POST Sterirized 005,51,Pallet,25/12/2026,1234617,Good
POST Sterirized,A1-2-24,POST-011,POST Sterirized 032,52,Pallet,12/03/2027,1234618,Good
POST Sterirized,A1-2-25,POST-013,POST Sterirized 047,53,Pallet,08/04/2027,1234619,Good
POST Sterirized,A1-2-26,POST-026,POST Sterirized 012,54,Pallet,13/04/2027,1234620,Good
POST Sterirized,A1-2-27,POST-044,POST Sterirized 047,55,Pallet,02/12/2026,1234621,Good
POST Sterirized,A1-2-28,POST-042,POST Sterirized 049,56,Pallet,21/04/2027,1234622,Good
POST Sterirized,A1-3-1,POST-040,POST Sterirized 033,57,Pallet,27/03/2027,1234623,Good
POST Sterirized,A1-3-2,POST-033,POST Sterirized 002,58,Pallet,24/02/2027,1234624,Good
POST Sterirized,A1-3-3,POST-028,POST Sterirized 034,59,Pallet,15/01/2027,1234625,Good
POST Sterirized,A1-3-4,POST-039,POST Sterirized 027,60,Pallet,12/01/2027,1234626,Good
POST Sterirized,A1-3-5,POST-011,POST Sterirized 009,61,Pallet,07/02/2027,1234627,Good
POST Sterirized,A1-3-6,POST-033,POST Sterirized 011,62,Pallet,05/12/2026,1234628,Good
POST Sterirized,A1-3-7,POST-010,POST Sterirized 002,63,Pallet,14/01/2027,1234629,Good
POST Sterirized,A1-3-8,POST-044,POST Sterirized 040,64,Pallet,27/03/2027,1234630,Good
POST Sterirized,A1-3-9,POST-005,POST Sterirized 037,65,Pallet,14/02/2027,1234631,Good
POST Sterirized,A1-3-10,POST-019,POST Sterirized 028,66,Pallet,21/04/2027,1234632,Good
POST Sterirized,A1-3-11,POST-007,POST Sterirized 008,67,Pallet,10/04/2027,1234633,Good
POST Sterirized,A1-3-12,POST-038,POST Sterirized 016,68,Pallet,08/11/2026,1234634,Good
POST Sterirized,A1-3-13,POST-027,POST Sterirized 016,69,Pallet,13/11/2026,1234635,Good
POST Sterirized,A1-3-14,POST-016,POST Sterirized 028,70,Pallet,21/04/2027,1234636,Good
POST Sterirized,A1-3-15,POST-011,POST Sterirized 027,71,Pallet,17/03/2027,1234637,Good
POST Sterirized,A1-3-16,POST-035,POST Sterirized 042,72,Pallet,21/12/2026,1234638,Good
POST Sterirized,A1-3-17,POST-039,POST Sterirized 024,73,Pallet,31/01/2027,1234639,Good
POST Sterirized,A1-3-18,POST-049,POST Sterirized 040,74,Pallet,14/11/2026,1234640,Good
POST Sterirized,A1-3-19,POST-004,POST Sterirized 028,75,Pallet,20/11/2026,1234641,Good
POST Sterirized,A1-3-20,POST-031,POST Sterirized 016,76,Pallet,01/03/2027,1234642,Good
POST Sterirized,A1-3-21,POST-015,POST Sterirized 009,77,Pallet,26/12/2026,1234643,Good
POST Sterirized,A1-3-22,POST-038,POST Sterirized 034,78,Pallet,14/11/2026,1234644,Good
POST Sterirized,A1-3-23,POST-009,POST Sterirized 013,79,Pallet,02/01/2027,1234645,Good
POST Sterirized,A1-3-24,POST-012,POST Sterirized 013,80,Pallet,18/03/2027,1234646,Good
POST Sterirized,A1-3-25,POST-026,POST Sterirized 024,81,Pallet,25/04/2027,1234647,Good
POST Sterirized,A1-3-26,POST-024,POST Sterirized 042,82,Pallet,07/04/2027,1234648,Good
POST Sterirized,A1-3-27,POST-027,POST Sterirized 009,83,Pallet,23/01/2027,1234649,Good
POST Sterirized,A1-3-28,POST-047,POST Sterirized 049,84,Pallet,08/12/2026,1234650,Good
POST Sterirized,A1-4-1,POST-049,POST Sterirized 048,85,Pallet,08/04/2027,1234651,Good
POST Sterirized,A1-4-2,POST-041,POST Sterirized 031,86,Pallet,08/11/2026,1234652,Good
POST Sterirized,A1-4-3,POST-045,POST Sterirized 009,87,Pallet,24/04/2027,1234653,Good
POST Sterirized,A1-4-4,POST-001,POST Sterirized 015,88,Pallet,02/11/2026,1234654,Good
POST Sterirized,A1-4-5,POST-050,POST Sterirized 031,89,Pallet,29/10/2026,1234655,Good
POST Sterirized,A1-4-6,POST-008,POST Sterirized 047,90,Pallet,31/01/2027,1234656,Good
POST Sterirized,A1-4-7,POST-030,POST Sterirized 031,91,Pallet,08/02/2027,1234657,Good
POST Sterirized,A1-4-8,POST-030,POST Sterirized 019,92,Pallet,22/04/2027,1234658,Good
POST Sterirized,A1-4-9,POST-002,POST Sterirized 022,93,Pallet,21/01/2027,1234659,Good
POST Sterirized,A1-4-10,POST-049,POST Sterirized 008,94,Pallet,01/12/2026,1234660,Good
POST Sterirized,A1-4-11,POST-017,POST Sterirized 019,95,Pallet,29/10/2026,1234661,Good
POST Sterirized,A1-4-12,POST-039,POST Sterirized 034,96,Pallet,21/01/2027,1234662,Good
POST Sterirized,A1-4-13,POST-037,POST Sterirized 044,97,Pallet,28/03/2027,1234663,Good
POST Sterirized,A1-4-14,POST-021,POST Sterirized 005,98,Pallet,19/12/2026,1234664,Good
POST Sterirized,A1-4-15,POST-005,POST Sterirized 049,99,Pallet,18/01/2027,1234665,Good
POST Sterirized,A1-4-16,POST-012,POST Sterirized 041,100,Pallet,23/04/2027,1234666,Good
POST Sterirized,A1-4-17,POST-049,POST Sterirized 040,101,Pallet,30/11/2026,1234667,Good
POST Sterirized,A1-4-18,POST-034,POST Sterirized 043,102,Pallet,17/03/2027,1234668,Good
POST Sterirized,A1-4-19,POST-014,POST Sterirized 046,103,Pallet,20/03/2027,1234669,Good
POST Sterirized,A1-4-20,POST-014,POST Sterirized 038,104,Pallet,09/11/2026,1234670,Good
POST Sterirized,A1-4-21,POST-018,POST Sterirized 020,105,Pallet,04/04/2027,1234671,Good
POST Sterirized,A1-4-22,POST-011,POST Sterirized 031,106,Pallet,19/11/2026,1234672,Good
POST Sterirized,A1-4-23,POST-012,POST Sterirized 042,107,Pallet,21/02/2027,1234673,Good
POST Sterirized,A1-4-24,POST-006,POST Sterirized 015,108,Pallet,22/11/2026,1234674,Good
POST Sterirized,A1-4-25,POST-040,POST Sterirized 029,109,Pallet,12/02/2027,1234675,Good
POST Sterirized,A1-4-26,POST-026,POST Sterirized 004,110,Pallet,24/02/2027,1234676,Good
POST Sterirized,A1-4-27,POST-028,POST Sterirized 027,111,Pallet,19/01/2027,1234677,Good
POST Sterirized,A1-4-28,POST-050,POST Sterirized 045,112,Pallet,11/04/2027,1234678,Good
POST Sterirized,A1-5-1,POST-050,POST Sterirized 018,113,Pallet,25/03/2027,1234679,Good
POST Sterirized,A1-5-2,POST-042,POST Sterirized 041,114,Pallet,12/01/2027,1234680,Good
POST Sterirized,A1-5-3,POST-025,POST Sterirized 003,115,Pallet,17/12/2026,1234681,Good
POST Sterirized,A1-5-4,POST-015,POST Sterirized 040,116,Pallet,19/12/2026,1234682,Good
POST Sterirized,A1-5-5,POST-029,POST Sterirized 047,117,Pallet,02/01/2027,1234683,Good
POST Sterirized,A1-5-6,POST-050,POST Sterirized 047,118,Pallet,14/01/2027,1234684,Good
POST Sterirized,A1-5-7,POST-030,POST Sterirized 031,119,Pallet,20/02/2027,1234685,Good
POST Sterirized,A1-5-8,POST-012,POST Sterirized 036,120,Pallet,20/04/2027,1234686,Good
POST Sterirized,A1-5-9,POST-001,POST Sterirized 001,121,Pallet,16/11/2026,1234687,Good
POST Sterirized,A1-5-10,POST-040,POST Sterirized 022,122,Pallet,11/04/2027,1234688,Good
POST Sterirized,A1-5-11,POST-036,POST Sterirized 006,123,Pallet,08/04/2027,1234689,Good
POST Sterirized,A1-5-12,POST-001,POST Sterirized 014,124,Pallet,07/02/2027,1234690,Good
POST Sterirized,A1-5-13,POST-011,POST Sterirized 028,125,Pallet,14/04/2027,1234691,Good
POST Sterirized,A1-5-14,POST-029,POST Sterirized 032,126,Pallet,31/01/2027,1234692,Good
POST Sterirized,A1-5-15,POST-022,POST Sterirized 001,127,Pallet,14/12/2026,1234693,Good
POST Sterirized,A1-5-16,POST-008,POST Sterirized 014,128,Pallet,26/12/2026,1234694,Good
POST Sterirized,A1-5-17,POST-006,POST Sterirized 027,129,Pallet,18/04/2027,1234695,Good
POST Sterirized,A1-5-18,POST-003,POST Sterirized 013,130,Pallet,13/03/2027,1234696,Good
POST Sterirized,A1-5-19,POST-010,POST Sterirized 014,131,Pallet,29/11/2026,1234697,Good
POST Sterirized,A1-5-20,POST-014,POST Sterirized 020,132,Pallet,10/12/2026,1234698,Good
POST Sterirized,A1-5-21,POST-021,POST Sterirized 032,133,Pallet,20/11/2026,1234699,Good
POST Sterirized,A1-5-22,POST-001,POST Sterirized 015,134,Pallet,06/04/2027,1234700,Good
POST Sterirized,A1-5-23,POST-045,POST Sterirized 014,135,Pallet,12/12/2026,1234701,Good
POST Sterirized,A1-5-24,POST-049,POST Sterirized 050,136,Pallet,06/04/2027,1234702,Good
POST Sterirized,A1-5-25,POST-040,POST Sterirized 014,137,Pallet,24/11/2026,1234703,Good
POST Sterirized,A1-5-26,POST-008,POST Sterirized 012,138,Pallet,15/01/2027,1234704,Good
POST Sterirized,A1-5-27,POST-020,POST Sterirized 047,139,Pallet,17/01/2027,1234705,Good
POST Sterirized,A1-5-28,POST-040,POST Sterirized 042,140,Pallet,05/01/2027,1234706,Good
POST Sterirized,A1-6-1,POST-011,POST Sterirized 021,141,Pallet,19/12/2026,1234707,Good
POST Sterirized,A1-6-2,POST-029,POST Sterirized 015,142,Pallet,12/02/2027,1234708,Good
POST Sterirized,A1-6-3,POST-017,POST Sterirized 027,143,Pallet,11/02/2027,1234709,Good
POST Sterirized,A1-6-4,POST-009,POST Sterirized 025,144,Pallet,26/11/2026,1234710,Good
POST Sterirized,A1-6-5,POST-004,POST Sterirized 010,145,Pallet,14/11/2026,1234711,Good
POST Sterirized,A1-6-6,POST-014,POST Sterirized 044,146,Pallet,10/02/2027,1234712,Good
POST Sterirized,A1-6-7,POST-016,POST Sterirized 043,147,Pallet,10/03/2027,1234713,Good
POST Sterirized,A1-6-8,POST-021,POST Sterirized 048,148,Pallet,03/12/2026,1234714,Good
POST Sterirized,A1-6-9,POST-003,POST Sterirized 029,149,Pallet,20/12/2026,1234715,Good
POST Sterirized,A1-6-10,POST-017,POST Sterirized 011,150,Pallet,25/02/2027,1234716,Good
POST Sterirized,A1-6-11,POST-041,POST Sterirized 012,151,Pallet,08/12/2026,1234717,Good
POST Sterirized,A1-6-12,POST-038,POST Sterirized 019,152,Pallet,31/12/2026,1234718,Good
POST Sterirized,A1-6-13,POST-035,POST Sterirized 035,153,Pallet,20/02/2027,1234719,Good
POST Sterirized,A1-6-14,POST-018,POST Sterirized 024,154,Pallet,13/04/2027,1234720,Good
POST Sterirized,A1-6-15,POST-033,POST Sterirized 024,155,Pallet,02/04/2027,1234721,Good
POST Sterirized,A1-6-16,POST-050,POST Sterirized 029,156,Pallet,27/03/2027,1234722,Good
POST Sterirized,A1-6-17,POST-033,POST Sterirized 029,157,Pallet,27/11/2026,1234723,Good
POST Sterirized,A1-6-18,POST-036,POST Sterirized 038,158,Pallet,06/01/2027,1234724,Good
POST Sterirized,A1-6-19,POST-015,POST Sterirized 036,159,Pallet,11/02/2027,1234725,Good
POST Sterirized,A1-6-20,POST-007,POST Sterirized 021,160,Pallet,09/01/2027,1234726,Good
POST Sterirized,A1-6-21,POST-040,POST Sterirized 011,161,Pallet,08/04/2027,1234727,Good
POST Sterirized,A1-6-22,POST-013,POST Sterirized 035,162,Pallet,08/01/2027,1234728,Good
POST Sterirized,A1-6-23,POST-012,POST Sterirized 023,163,Pallet,12/11/2026,1234729,Good
POST Sterirized,A1-6-24,POST-006,POST Sterirized 044,164,Pallet,19/12/2026,1234730,Good
POST Sterirized,A1-6-25,POST-045,POST Sterirized 018,165,Pallet,08/11/2026,1234731,Good
POST Sterirized,A1-6-26,POST-034,POST Sterirized 006,166,Pallet,09/11/2026,1234732,Good
POST Sterirized,A1-6-27,POST-021,POST Sterirized 029,167,Pallet,31/12/2026,1234733,Good
POST Sterirized,A1-6-28,POST-026,POST Sterirized 027,168,Pallet,11/11/2026,1234734,Good
POST Sterirized,A2-1-1,POST-012,POST Sterirized 006,169,Pallet,25/12/2026,1234735,Good
POST Sterirized,A2-1-2,POST-036,POST Sterirized 042,170,Pallet,09/03/2027,1234736,Good
POST Sterirized,A2-1-3,POST-040,POST Sterirized 032,171,Pallet,02/04/2027,1234737,Good
POST Sterirized,A2-1-4,POST-014,POST Sterirized 015,172,Pallet,20/02/2027,1234738,Good
POST Sterirized,A2-1-5,POST-050,POST Sterirized 015,173,Pallet,23/03/2027,1234739,Good
POST Sterirized,A2-1-6,POST-003,POST Sterirized 022,174,Pallet,03/02/2027,1234740,Good
POST Sterirized,A2-1-7,POST-027,POST Sterirized 015,175,Pallet,21/12/2026,1234741,Good
POST Sterirized,A2-1-8,POST-011,POST Sterirized 012,176,Pallet,24/12/2026,1234742,Good
POST Sterirized,A2-1-9,POST-023,POST Sterirized 027,177,Pallet,02/02/2027,1234743,Good
POST Sterirized,A2-1-10,POST-014,POST Sterirized 045,178,Pallet,19/12/2026,1234744,Good
POST Sterirized,A2-1-11,POST-027,POST Sterirized 018,179,Pallet,09/01/2027,1234745,Good
POST Sterirized,A2-1-12,POST-043,POST Sterirized 036,180,Pallet,12/03/2027,1234746,Good
POST Sterirized,A2-1-13,POST-043,POST Sterirized 022,181,Pallet,18/02/2027,1234747,Good
POST Sterirized,A2-1-14,POST-009,POST Sterirized 004,182,Pallet,22/11/2026,1234748,Good
POST Sterirized,A2-1-15,POST-043,POST Sterirized 047,183,Pallet,01/04/2027,1234749,Good
POST Sterirized,A2-1-16,POST-030,POST Sterirized 038,184,Pallet,26/01/2027,1234750,Good
POST Sterirized,A2-1-17,POST-039,POST Sterirized 042,185,Pallet,30/11/2026,1234751,Good
POST Sterirized,A2-1-18,POST-038,POST Sterirized 027,186,Pallet,28/11/2026,1234752,Good
POST Sterirized,A2-1-19,POST-050,POST Sterirized 050,187,Pallet,19/02/2027,1234753,Good
POST Sterirized,A2-1-20,POST-007,POST Sterirized 008,188,Pallet,06/04/2027,1234754,Good
POST Sterirized,A2-1-21,POST-047,POST Sterirized 002,189,Pallet,25/01/2027,1234755,Good
POST Sterirized,A2-1-22,POST-001,POST Sterirized 002,190,Pallet,06/11/2026,1234756,Good
POST Sterirized,A2-1-23,POST-047,POST Sterirized 030,191,Pallet,14/12/2026,1234757,Good
POST Sterirized,A2-1-24,POST-015,POST Sterirized 040,192,Pallet,08/12/2026,1234758,Good
POST Sterirized,A2-1-25,POST-030,POST Sterirized 009,193,Pallet,15/11/2026,1234759,Good
POST Sterirized,A2-1-26,POST-008,POST Sterirized 014,194,Pallet,05/03/2027,1234760,Good
POST Sterirized,A2-1-27,POST-030,POST Sterirized 010,195,Pallet,10/01/2027,1234761,Good
POST Sterirized,A2-1-28,POST-049,POST Sterirized 036,196,Pallet,20/04/2027,1234762,Good
POST Sterirized,A2-2-1,POST-023,POST Sterirized 043,197,Pallet,28/02/2027,1234763,Good
POST Sterirized,A2-2-2,POST-036,POST Sterirized 011,198,Pallet,27/11/2026,1234764,Good
POST Sterirized,A2-2-3,POST-016,POST Sterirized 013,199,Pallet,02/03/2027,1234765,Good
POST Sterirized,A2-2-4,POST-027,POST Sterirized 005,200,Pallet,17/12/2026,1234766,Good
POST Sterirized,A2-2-5,POST-022,POST Sterirized 049,201,Pallet,04/01/2027,1234767,Good
POST Sterirized,A2-2-6,POST-006,POST Sterirized 049,202,Pallet,03/02/2027,1234768,Good
POST Sterirized,A2-2-7,POST-010,POST Sterirized 006,203,Pallet,13/12/2026,1234769,Good
POST Sterirized,A2-2-8,POST-033,POST Sterirized 018,204,Pallet,07/11/2026,1234770,Good
POST Sterirized,A2-2-9,POST-033,POST Sterirized 007,205,Pallet,02/11/2026,1234771,Good
POST Sterirized,A2-2-10,POST-029,POST Sterirized 032,206,Pallet,05/12/2026,1234772,Good
POST Sterirized,A2-2-11,POST-001,POST Sterirized 035,207,Pallet,12/01/2027,1234773,Good
POST Sterirized,A2-2-12,POST-027,POST Sterirized 003,208,Pallet,25/01/2027,1234774,Good
POST Sterirized,A2-2-13,POST-016,POST Sterirized 007,209,Pallet,08/12/2026,1234775,Good
POST Sterirized,A2-2-14,POST-035,POST Sterirized 020,210,Pallet,14/04/2027,1234776,Good
POST Sterirized,A2-2-15,POST-012,POST Sterirized 034,211,Pallet,07/02/2027,1234777,Good
POST Sterirized,A2-2-16,POST-050,POST Sterirized 018,212,Pallet,04/12/2026,1234778,Good
POST Sterirized,A2-2-17,POST-018,POST Sterirized 031,213,Pallet,25/03/2027,1234779,Good
POST Sterirized,A2-2-18,POST-049,POST Sterirized 017,214,Pallet,02/03/2027,1234780,Good
POST Sterirized,A2-2-19,POST-044,POST Sterirized 036,215,Pallet,17/01/2027,1234781,Good
POST Sterirized,A2-2-20,POST-041,POST Sterirized 011,216,Pallet,15/03/2027,1234782,Good
POST Sterirized,A2-2-21,POST-033,POST Sterirized 012,217,Pallet,11/03/2027,1234783,Good
POST Sterirized,A2-2-22,POST-035,POST Sterirized 043,218,Pallet,25/01/2027,1234784,Good
POST Sterirized,A2-2-23,POST-044,POST Sterirized 019,219,Pallet,14/04/2027,1234785,Good
POST Sterirized,A2-2-24,POST-036,POST Sterirized 034,220,Pallet,05/03/2027,1234786,Good
POST Sterirized,A2-2-25,POST-037,POST Sterirized 016,221,Pallet,16/03/2027,1234787,Good
POST Sterirized,A2-2-26,POST-050,POST Sterirized 021,222,Pallet,18/01/2027,1234788,Good
POST Sterirized,A2-2-27,POST-036,POST Sterirized 037,223,Pallet,10/03/2027,1234789,Good
POST Sterirized,A2-2-28,POST-041,POST Sterirized 029,224,Pallet,30/12/2026,1234790,Good
POST Sterirized,A2-3-1,POST-036,POST Sterirized 035,225,Pallet,09/03/2027,1234791,Good
POST Sterirized,A2-3-2,POST-034,POST Sterirized 014,226,Pallet,09/01/2027,1234792,Good
POST Sterirized,A2-3-3,POST-010,POST Sterirized 012,227,Pallet,24/12/2026,1234793,Good
POST Sterirized,A2-3-4,POST-047,POST Sterirized 024,228,Pallet,04/01/2027,1234794,Good
POST Sterirized,A2-3-5,POST-031,POST Sterirized 050,229,Pallet,02/04/2027,1234795,Good
POST Sterirized,A2-3-6,POST-024,POST Sterirized 011,230,Pallet,19/01/2027,1234796,Good
POST Sterirized,A2-3-7,POST-039,POST Sterirized 009,231,Pallet,08/02/2027,1234797,Good
POST Sterirized,A2-3-8,POST-015,POST Sterirized 021,232,Pallet,06/03/2027,1234798,Good
POST Sterirized,A2-3-9,POST-043,POST Sterirized 034,233,Pallet,08/01/2027,1234799,Good
POST Sterirized,A2-3-10,POST-046,POST Sterirized 019,234,Pallet,20/01/2027,1234800,Good
POST Sterirized,A2-3-11,POST-002,POST Sterirized 040,235,Pallet,12/02/2027,1234801,Good
POST Sterirized,A2-3-12,POST-011,POST Sterirized 005,236,Pallet,04/04/2027,1234802,Good
POST Sterirized,A2-3-13,POST-019,POST Sterirized 038,237,Pallet,01/11/2026,1234803,Good
POST Sterirized,A2-3-14,POST-020,POST Sterirized 048,238,Pallet,03/11/2026,1234804,Good
POST Sterirized,A2-3-15,POST-023,POST Sterirized 002,239,Pallet,11/11/2026,1234805,Good
POST Sterirized,A2-3-16,POST-040,POST Sterirized 036,240,Pallet,12/01/2027,1234806,Good
POST Sterirized,A2-3-17,POST-048,POST Sterirized 043,241,Pallet,11/02/2027,1234807,Good
POST Sterirized,A2-3-18,POST-037,POST Sterirized 003,242,Pallet,22/01/2027,1234808,Good
POST Sterirized,A2-3-19,POST-037,POST Sterirized 013,243,Pallet,01/04/2027,1234809,Good
POST Sterirized,A2-3-20,POST-041,POST Sterirized 019,244,Pallet,04/01/2027,1234810,Good
POST Sterirized,A2-3-21,POST-014,POST Sterirized 038,245,Pallet,07/04/2027,1234811,Good
POST Sterirized,A2-3-22,POST-024,POST Sterirized 021,246,Pallet,27/12/2026,1234812,Good
POST Sterirized,A2-3-23,POST-012,POST Sterirized 044,247,Pallet,12/11/2026,1234813,Good
POST Sterirized,A2-3-24,POST-016,POST Sterirized 026,248,Pallet,28/12/2026,1234814,Good
POST Sterirized,A2-3-25,POST-011,POST Sterirized 018,249,Pallet,29/03/2027,1234815,Good
POST Sterirized,A2-3-26,POST-021,POST Sterirized 043,250,Pallet,24/12/2026,1234816,Good
POST Sterirized,A2-3-27,POST-033,POST Sterirized 004,251,Pallet,14/01/2027,1234817,Good
POST Sterirized,A2-3-28,POST-010,POST Sterirized 037,252,Pallet,10/12/2026,1234818,Good
POST Sterirized,A2-4-1,POST-027,POST Sterirized 050,253,Pallet,06/01/2027,1234819,Good
POST Sterirized,A2-4-2,POST-006,POST Sterirized 006,254,Pallet,18/01/2027,1234820,Good
POST Sterirized,A2-4-3,POST-044,POST Sterirized 003,255,Pallet,15/04/2027,1234821,Good
POST Sterirized,A2-4-4,POST-032,POST Sterirized 016,256,Pallet,28/12/2026,1234822,Good
POST Sterirized,A2-4-5,POST-046,POST Sterirized 010,257,Pallet,05/12/2026,1234823,Good
POST Sterirized,A2-4-6,POST-003,POST Sterirized 028,258,Pallet,17/02/2027,1234824,Good
POST Sterirized,A2-4-7,POST-016,POST Sterirized 049,259,Pallet,13/02/2027,1234825,Good
POST Sterirized,A2-4-8,POST-039,POST Sterirized 045,260,Pallet,05/03/2027,1234826,Good
POST Sterirized,A2-4-9,POST-033,POST Sterirized 012,261,Pallet,03/01/2027,1234827,Good
POST Sterirized,A2-4-10,POST-049,POST Sterirized 012,262,Pallet,17/03/2027,1234828,Good
POST Sterirized,A2-4-11,POST-018,POST Sterirized 027,263,Pallet,24/03/2027,1234829,Good
POST Sterirized,A2-4-12,POST-019,POST Sterirized 027,264,Pallet,17/02/2027,1234830,Good
POST Sterirized,A2-4-13,POST-050,POST Sterirized 003,265,Pallet,05/04/2027,1234831,Good
POST Sterirized,A2-4-14,POST-034,POST Sterirized 009,266,Pallet,18/11/2026,1234832,Good
POST Sterirized,A2-4-15,POST-012,POST Sterirized 002,267,Pallet,11/03/2027,1234833,Good
POST Sterirized,A2-4-16,POST-001,POST Sterirized 010,268,Pallet,10/02/2027,1234834,Good
POST Sterirized,A2-4-17,POST-008,POST Sterirized 008,269,Pallet,07/03/2027,1234835,Good
POST Sterirized,A2-4-18,POST-005,POST Sterirized 037,270,Pallet,01/04/2027,1234836,Good
POST Sterirized,A2-4-19,POST-048,POST Sterirized 017,271,Pallet,07/03/2027,1234837,Good
POST Sterirized,A2-4-20,POST-026,POST Sterirized 013,272,Pallet,01/11/2026,1234838,Good
